registration_number,name,status
PF000630,John Mullan (Mullan & Co),Expired
PF000836,John Thornton (FLC Property Services),Expired
PF000887,Joseph Curley,Active
PF000597,Just Property Factoring Limited,Expired
PF000914,KAI Property Services Ltd,Active
PF000366,Karen Fraser (Karen Fraser Factor),Expired
PF000839,Keith Innes (Lightbulb Moments),Expired
PF000193,Kingdom Housing Association Ltd,Active
PF000890,Kingdom Initiatives Limited,Active
PF000120,Klin Facilities Management Limited,Active
PF000454,Knight Property Services Scotland Ltd,Expired
PF000201,Knowes Housing Association Ltd,Active
PF001001,Kona Property Management Ltd,Active
PF000520,KPM Residential Limited,Expired
PF000656,Ladysbridge Village Ltd,Active
PF000658,Laird Property Solutions Ltd,Expired
PF000275,Lanarkshire Housing Association Ltd,Active
PF000716,Lancefield Quay Riverside Limited,Active
PF000732,Land Trust Estates Scotland Limited,Expired
PF000705,Land Trust Residential Services Limited,Expired
PF000666,Langstane Housing Association Limited,Active
PF000815,LAR Housing Trust,Active
PF000814,LAR Operations C.I.C.,Active
PF000279,Larkfield Housing Association Limited,Active
PF000752,Lettingsupermarket.com Limited,Expired
PF000096,Levern Property Services Ltd,Expired
PF000203,Life Property Management Ltd,Expired
PF000355,Link Housing Association Limited,Expired
PF000202,Linstone Housing Association Limited,Active
PF000162,Linthouse Housing Association Limited,Active
PF000620,Lisney (NI) Ltd,Expired
PF000737,LIV Group Limited,Expired
PF000122,Lloyd Younger Ltd,Expired
PF000615,Loch Tay Highland Lodge Park Ltd,Active
PF000340,Lochaber Housing Association Ltd,Active
PF000363,Lochaber Housing Association Property Services CIC,Active
PF000139,Lochalsh & Skye Housing Association,Active
PF000426,Lochaweside Management Company Ltd,Expired
PF000221,Lochfield Park Housing Association Limited,Active
PF000399,Lomond Estate Agents Ltd,Expired
PF000359,Lomond Property Factors Ltd,Active
PF000938,Loreburn Housing Association Limited,Active
PF000402,Loretto Housing Association Ltd,Active
PF000842,Lorimer Property Group Ltd,Active
PF001038,Louise Todd Property Management Ltd,Active
PF000785,Lowther Homes Limited,Active
PF000781,LYALL BUILDING SOLUTIONS LTD,Expired
PF000098,Macfie & Co Management Services Ltd,Active
PF000547,MAJR Properties Limited,Expired
PF000693,Managing Estates Limited,Active
PF000997,Manor Estates Associates Ltd,Active
PF000157,Manor Estates Housing Association Ltd,Active
PF000821,Mark Kelly (84 Main Street),Expired
PF000874,Mark Lindsay (Marks Gardening Service),Expired
PF000199,Maroco Limited,Active
PF000442,MARSHALL MACCALLUM,Expired
PF000931,Martin Jack Limited,Active
PF000396,Maryhill Housing Association Ltd,Active
PF000115,Matthew Cohen & Associates Ltd,Expired
PF001017,MBM Property Management (Scotland) Limited,Active
PF001135,McAslan Services Ltd,Active
PF000391,McCarthy & Stone Management Services Limited,Active
PF000443,MCDONALD PROPERTY MANAGEMENT,Expired
PF000635,McGregor Letting,Expired
PF001136,McIntyre Property Consultants Ltd,Active
PF000469,McKenzie Accountants Ltd,Active
PF001004,McNeill Maguire & McCreath Surveyors Limited,Active
PF000675,MCS FACTORS LTD,Expired
PF001163,MDLC Property Services Ltd,Active
PF000107,ME Property Group Ltd,Expired
PF000224,Meadfleet Limited,Expired
PF000786,Melfort Pier Homeowners Association ( ),Expired
PF000388,Melville Housing Association Limited,Active
PF000731,Melville Property Limited,Expired
PF001066,Metropole Glasgow Limited,Active
PF000959,Mezzino Limited,Active
PF000896,MGLT Ltd (Thomson Property Factors ),Expired
PF000339,MHA Auchlochan,Expired
PF000314,Miller Property Management Ltd,Expired
PF000955,Miller Property Management Ltd,Active
PF000428,Miller Stewart,Expired
PF000368,Milnbank Property Services Ltd,Active
PF000876,MiPropit.com Ltd (PropPal),Expired
PF000497,MITIE LANDSCAPES LIMITED,Expired
PF000741,MLS Capital Group Limited,Expired
PF000125,Molendinar Park Housing Association,Active
PF001027,Moorfoot Property Management Ltd,Active
PF001132,Moravia Apartments Factor Services (Elgin) Ltd,Active
PF000249,Morison Walker Property Management Ltd,Expired
PF001154,MPM Property Services Limited,Active
PF000253,Murdoch MacKenzie Construction Ltd,Expired
PF000227,Murphy Scoular,Expired
PF000169,Murray Laing trading as Laing & Co,Expired
PF000979,MXM Property Solutions Limited,Active
PF000290,MXM Property Solutions Ltd,Expired
PF000177,Myreside Management Limited,Active
PF000522,N.B. Property Maintenance (Dundee) Ltd,Expired
PF000569,Naver Ltd,Active
PF001123,Nesstates Ltd,Active
PF000485,Netkast Ltd,Expired
PF000816,New Findhorn Directions Ltd (New Findhorn Directions Ltd),Expired
PF000338,New Gorbals Housing Association Limited,Active
PF000532,New Leaf Estate Management Ltd,Expired
PF000190,New Start Highland Enterprises Ltd,Expired
PF000108,Newton Property Management Ltd,Active
PF000349,NG Property (Scotland) Limited,Active
PF000474,Nivingston House Ltd,Expired
PF000263,North Ayrshire Council,Active
PF000348,North Glasgow Housing Association Limited,Expired
PF000303,North Lanarkshire Council,Active
PF000246,North View Housing Association Limited,Active
PF000847,Northwood Edinburgh Ltd,Active
PF000759,NRV Management Glasgow Limited,Active
PF001142,NT1112 Home Owners Organisation,Active
PF000412,O'Neill Property,Expired
PF000264,Oak Tree Housing Association Limited,Active
PF000367,Ochil View Housing Association Ltd,Active
PF001036,On Tranquil Shores Ltd,Active
PF000353,Orchard Brae Flats (Edinburgh) Ltd,Expired
PF000639,Ore Valley Housing Association Ltd,Active
PF000281,Orkney Housing Association Ltd,Active
PF000738,Orkney Islands Property Developments Limited,Active
PF000602,Ortus Facilities Management Ltd,Expired
PF000128,Osprey Housing,Expired
PF001035,Overtoun Bowmont Limited,Active
PF001116,Pada Vastu Ltd,Active
PF000305,Paisley South Property Services Limited,Active
PF000840,Palm Integrated Solutions Ltd (Palm Integrated),Expired
PF000996,Palms Property Management Ltd,Active
PF001098,Pamsco Ltd,Active
PF000282,Paragon Housing Association Ltd,Active
PF000421,Paris Steele WS,Expired
PF000423,Park Property Management Limited,Active
PF000252,Parkhead Housing Association Limited,Active
PF000165,Partick Works Limited,Active
PF001112,Patawary Ltd,Active
PF001099,Pavillion Properties (Assets) Limited,Active
PF000486,Pavillion Properties (Scotland) Limited,Expired
PF001039,Pavillion Properties Limited,Active
PF001049,Pennyarch Projects Ltd,Active
PF000878,Pennyarch Projects Ltd ( ),Expired
PF000715,Pentland Community Enterprises Limited,Active
PF000291,Pentland Housing Association,Expired
PF000395,Perth & Kinross Council,Active
PF000729,Peter Cusack Property Consultancy Limited,Active
PF001156,Peter Doherty,Active
PF001011,Philip Bald Accountancy Limited,Active
PF000151,Pineview Housing Association Ltd,Active
PF001010,Piper Lettings Ltd,Active
PF000123,Places for People Scotland Limited,Expired
PF000903,Platinum Property Management Limited (Platinum Property Management Limited),Expired
PF000756,PLS Rural Limited,Active
PF000100,PMC Property Management & Lettings Ltd,Active
PF000662,Polaris Consulting International Limited,Expired
PF000817,Positive Steps Partnership (Positive Steps),Expired
PF001014,Prem Apart Edinburgh Limited,Active
PF000503,Premier Developments Lochaber Ltd,Expired
PF000508,Premier Properties Perth Limited,Active
PF001069,Principal Factors Ltd,Active
PF000921,Pritchard Lettings Limited,Expired
PF000870,Pro-perty Development Scotland Ltd (Pro-perty Development Scotland Ltd),Expired
PF000186,ProAct Property Ltd,Expired
PF000450,Property One (Scotland) Ltd,Expired
PF000204,Prospect Community Housing Ltd,Active
PF000610,Prospect Property Factors Ltd,Expired
PF000389,Provanhall Housing Association,Active
PF000381,Quarriers,Active
PF000418,Quartermile Estates Ltd,Expired
PF000258,Queens Cross Factoring Limited,Active
PF000394,Queens Cross Housing Association,Expired
PF000148,Raeburn Hope,Expired
PF000710,RCB Property Services Limited,Expired
PF000110,Redpath Bruce Property Management Limited,Active
PF000633,Redwood Retreats Ltd,Expired
PF000564,Regent Factor Ltd,Active
PF000099,Reidvale Housing Association,Active
PF000831,Rendall and Rittner Limited,Active
PF000284,Renfrewshire Council,Active
PF000923,RentirPro limited,Active
PF000111,Rentolease Property Management Ltd,Active
PF000195,Residential Management Group Limited,Expired
PF000763,Residential Management Group Scotland Limited,Active
PF000954,Reu-Lake Properties Ltd  (Reu-Lake Properties Ltd ),Expired
PF000871,Ritchie Leasing Limited,Active
PF000152,River Clyde Homes,Active
PF000780,RM Lettings & Sales Ltd,Expired
PF000166,Robert Murray  (Lickley Proctor Lettings),Expired
PF000463,Robert Smith,Active
PF000524,Robertson Property Management Limited,Active
PF000133,Robin Williamson (Sharp and Fairlie),Expired
PF000782,Rockford Properties Ltd,Active
PF000601,Rockford Properties Ltd,Expired
PF000136,Roger G Dodd & Company,Expired
PF000167,Rollos Town & Gown Limited,Expired
PF000272,Rosehill Housing Co-operative Limited,Active
PF000196,Ross & Liddell Ltd,Active
PF000970,Ross Clarihew (J V Carroll),Expired
PF000198,Ross McLeish (Ross McLeish Factor & Property Maintenance),Expired
PF000767,Rothesay Residentials Limited,Expired
PF000559,Ruchazie Housing Association Limited,Active
PF000398,Rumroy Ltd,Expired
PF000330,Rural Stirling Housing Association,Active
PF000345,Rutherglen and Cambuslang Housing Association Ltd,Active
PF000370,S & D Properties (Edinburgh) Ltd,Expired
PF000491,S&E SERVICES UN LIMITED,Expired
PF000124,Sanctuary Scotland Housing Association Ltd,Active
PF000634,Saqsaa Ltd,Expired
PF000512,Savills (UK) Limited,Expired
PF001000,SC Business Gateway Ltd,Active
PF000864,Scott Woods,Active
PF000213,Scottish Borders Housing Association,Active
PF000121,Scottish Woodlands Ltd,Active
PF000144,Screenautumn Limited,Expired
PF000702,Select Premier Letting Limited,Expired
PF000899,Select Premier Letting Ltd,Active
PF000207,SELECT PROPERTY MANAGEMENT SERVICES (ABERDEEN) LTD,Expired
PF000889,Senica Limited (Johnson & Co Retirement Factors ),Expired
PF000909,Sentry Management Ltd,Active
PF000492,SGL Property Ltd,Expired
PF000175,Shafaatulla Property Management Limited,Active
PF000556,Shanley lettings Limited,Expired
PF000390,Sheltered Housing Management Limited,Expired
PF000226,Shettleston Housing Association Limited,Active
PF000373,Shire Housing Association Limited,Active
PF000772,Sigma Estate Services Ltd,Expired
PF000306,Simple Approach Letting Agents Ltd (Simple Approach Letting Agents Ltd),Expired
PF000531,Simply Factors Limited,Active
PF000748,Simply Factors North Limited,Expired
PF000553,Smart & Co (Scotland) Ltd,Expired
PF000419,SMART MOVE PROPERTY FACTORS LIMITED,Expired
PF000440,SMF Property Management,Expired
PF001044,SOLSTICE 360 LTD,Active
PF000184,South Lanarkshire Council,Active
PF001051,Southside Housing Association Limited,Active
PF000323,Southside Lettings,Active
PF000568,SouthSide Property Factors Ltd,Active
PF000160,Speirs Gumley Property Management Limited,Active
PF000180,Speirs Wharf Management Services Limited,Expired
PF000273,Spire View Housing Association Limited,Active
PF000643,St Andrews Property Lets Limited,Expired
PF000560,St Bride's Church ( Dumfries ) Limited,Expired
PF001110,Staffin Community Trust Ltd,Active
PF001003,Stand Property Limited,Active
PF000445,Stephen Robertson (Robertson & Associates),Expired
PF000465,Steven Balmer (Lets Move Property Management),Expired
PF000784,Steven McDougall (Eglinton Ashley Land and Property Management),Expired
PF000299,Stirling Council,Expired
PF000493,Taylor Martin Property Management Ltd,Active
PF000858,Tayside Property Maintenance & Factoring Ltd (Smart Factoring Ltd),Expired
PF000127,Tenants First Housing Co-operative Ltd,Expired
PF001031,THA Park Ecovillage Findhorn Limited,Active
PF000350,The City of Edinburgh Council,Active
PF000674,The Edinburgh Letting Centre Limited,Expired
PF000590,The Element Factors Ltd,Active
PF000793,The Estates Office Limited,Active
PF000973,The Factoring Company (Edinburgh) Ltd,Expired
PF000609,The Freda Factor,Expired
PF000215,The Highland Council,Active
PF000250,The Key Place (UK) Ltd,Expired
PF001073,THE PROPERTY FACTORING COMPANY LTD,Active
PF000984,THE TENEMENT COMPANY (SCOTLAND) LTD,Active
PF001104,The Three Cherubs Limited,Active
PF001060,The Water Row Company Ltd,Active
PF000268,Thenue Housing Association Limited,Active
PF000379,Thistle Housing Association,Expired
PF000243,Thomson & Company Property Management Services Ltd,Active
PF000451,THOMSON HOMES LTD,Expired
PF000762,Thomsons UK Limited,Active
PF000248,Thorntons LLP,Expired
PF000262,TLC Property Management Ltd,Active
PF000261,Tollcross Housing Association Limited,Active
PF001084,Tomintoul and Glenlivet Development Trust,Active
PF000543,Toner and McCartney LLP,Active
PF000751,Tornagrain Services Limited,Active
PF000755,Total Property Solutions (Scotland) Limited,Expired
PF001032,Touchstone Corporate Property Services Limited,Active
PF000857,Town Property Management Ltd,Active
PF000285,Trafalgar Housing Association Limited,Active
PF000170,Trinity Factoring Services Ltd,Active
PF000913,Triple Crown (Grove Street) Limited (Fountain Court Apartments),Expired
PF000638,Troon Property Factoring Services Ltd,Active
PF000333,Trust Housing Association Ltd,Active
PF001059,Tyninghame Gardens Ltd,Active
PF000586,UGIE Construction and Property Services,Expired
PF001061,Urban Property (Scotland) Ltd,Active
PF000841,Urban Real Estate (Group) Ltd (URE Property Management),Expired
PF000668,Utopia Factoring,Expired
PF000758,Vanilla Homes Property Management Limited,Expired
PF000364,Viewpoint Housing Association Limited,Active
PF000726,Viewpoint Management Ltd,Expired
PF000267,Vista Properties and Development Ltd,Expired
PF000659,Vista Properties and Development Ltd,Active
PF000164,Walker Sandford Property Management Limited,Active
PF000404,Wanrobe Investments Limited,Active
PF000104,Watt & Co Property Management,Expired
PF000271,Waverley Housing,Active
PF001002,Waverley Property Maintenance Limited,Active
PF000457,Waverley Property Maintenance Ltd,Expired
PF000774,WE ARE PROPERTY FACTORS LIMITED,Expired
PF000109,Wellhouse Housing Association Ltd,Active
PF000247,Weslo Housing Management,Expired
PF000671,Weslo Initiatives Limited  (Weslo Property Management),Expired
PF000334,West Dunbartonshire Council,Active
PF000933,West End Concept Ltd,Active
PF000101,West Highland Housing Association Ltd,Active
PF001153,West Homes Property Management Ltd,Active
PF000711,West Lothian Council,Active
PF000278,West of Scotland Housing Association Ltd,Expired
PF000747,West of Scotland Property Management Limited,Expired
PF000413,West One Properties (UK) Ltd,Expired
PF000641,West One Property Management & Factoring Ltd,Active
PF000280,West Property Sales & Lettings,Expired
PF000910,Westburn Services Ltd,Active
PF001008,Westscot Living Limited,Active
PF000378,Wheatley Homes East Limited,Active
PF000287,Wheatley Homes Glasgow Limited,Active
PF000358,Wheatley Homes South Limited,Active
PF001124,Wider Role Solutions Limited,Active
PF000916,Wider Role Solutions Limited (The New Factor),Expired
PF000216,Williamsburgh Housing Association Ltd,Active
PF000137,Wilton Factoring,Expired
PF000434,Winning Quadrant Owners and Residents Association,Expired
PF000174,Wishaw & District Housing Association Limited,Expired
PF000097,WS Property Management Limited,Active
PF000935,Xenia Estates Ltd,Active
PF001141,xFactors Ltd,Active
PF000447,YI Properties,Expired
PF000335,Yoker Housing Association Ltd,Active
PF000220,Yorkhill Housing Association Ltd,Active
PF000409,Your Local Factor Limited,Active
PF000684,YourLife Management Services Limited,Active
PF000212,Yourplace Property Management Limited,Expired
